Genome,World-wide Prevalence,World-wide Abundance,Hadza Prevalence,Hadza Abundance,Hunter-gatherer Lifestyle Prevalence,Hunter-gatherer Lifestyle Abundance,Transitional lifestyle prevalence,Transitional Lifestyle Abundance,Industrial Lifestyle Prevalence,Industrial Lifestyle Abundance,GTDB Taxonomy,Phylum,Species name,New species compared to UHGG?,P-value?,#NAME?,Change in prevalence,Percentile Rank,Special Taxa?
REFINED_METABAT215_TOP10_CONTIGS_1500_ASSEMBLY_K77_MERGED__Hadza_PheChl_Fiber-Hadza-Nepal_A_10_1531.126.fa,0.050555556,1.34E-06,0.348148148,1.96E-06,0.179775281,1.92E-06,0.02058319,1.12E-06,0.032631579,5.35E-07,d__Bacteria;p__Firmicutes;c__Bacilli;o__RF39;f__CAG-1000;g__CAG-533;s__CAG-533 sp900553855,Firmicutes,CAG-533 sp900553855,FALSE,3.01E-26,25.52185202,-0.315516569,77.62944984,
REFINED_METABAT215_TOP10_CONTIGS_1500_ASSEMBLY_K77_MERGED__Hadza_MoBio_C-REDO_E_9_1560.94.fa,0.018333333,1.37E-06,0.2,1.54E-06,0.123595506,1.37E-06,0,,0,,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__UBA9475;s__,Firmicutes_A,UBA9475 sp.,TRUE,3.11E-26,25.50721955,-0.2,77.36650485,
REFINED_METABAT215_TOP10_CONTIGS_1500_ASSEMBLY_K77_MERGED__Hadza_MoBio_hadza-A-D_A_14_1114.166.fa,0.018333333,1.30E-06,0.2,1.51E-06,0.108614232,1.43E-06,0.006861063,3.99E-07,0,,d__Bacteria;p__Firmicutes;c__Bacilli;o__RF39;f__CAG-1000;g__CAG-533;s__,Firmicutes,CAG-533 sp.,TRUE,3.11E-26,25.50721955,-0.2,77.36650485,
REFINED_METABAT215_TOP10_CONTIGS_1500_ASSEMBLY_K77_MERGED__Hadza_MoBio_hadza-A-D_D_21_1577.251.fa,0.021666667,5.34E-07,0.2,5.84E-07,0.112359551,5.57E-07,0.015437393,4.57E-07,0,,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__ER4;s__,Firmicutes_A,ER4 sp.,TRUE,3.11E-26,25.50721955,-0.2,77.36650485,
REFINED_METABAT215_TOP10_CONTIGS_1500_ASSEMBLY_K77_MERGED__Hadza_MoBio_hadza-A-D_F_2_1628.133.fa,0.017777778,2.51E-07,0.2,2.65E-07,0.101123596,2.65E-07,0.008576329,1.78E-07,0,,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__;s__,Firmicutes_A,Oscillospiraceae sp.,TRUE,3.11E-26,25.50721955,-0.2,77.36650485,
REFINED_METABAT215_TOP10_CONTIGS_1500_ASSEMBLY_K77_MERGED__Hadza_MoBio_hadza-A-D_L_17_1528.66.fa,0.017222222,1.02E-06,0.2,1.09E-06,0.101123596,1.09E-06,0.006861063,4.97E-07,0,,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__AM51-8;s__,Firmicutes_A,AM51-8 sp.,TRUE,3.11E-26,25.50721955,-0.2,77.36650485,
REFINED_METABAT215_TOP10_CONTIGS_1500_ASSEMBLY_K77_MERGED__Hadza_MoBio_hadza-E-H_D_24_2201.229.fa,0.043888889,1.10E-06,0.2,1.31E-06,0.127340824,1.57E-06,0.077186964,7.40E-07,0,,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Oribacterium;s__,Firmicutes_A,Oribacterium sp.,FALSE,3.11E-26,25.50721955,-0.2,77.36650485,
REFINED_METABAT215_TOP10_CONTIGS_1500_ASSEMBLY_K77_MERGED__Hadza_MoBio_hadza-I-L_B_17_2661.106.fa,0.021666667,9.25E-07,0.2,1.16E-06,0.134831461,9.70E-07,0.005145798,3.89E-07,0,,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__TANB77;f__CAG-508;g__;s__,Firmicutes_A,CAG-508 sp.,TRUE,3.11E-26,25.50721955,-0.2,77.36650485,
REFINED_METABAT215_TOP10_CONTIGS_1500_ASSEMBLY_K77_MERGED__Hadza_PheChl_Fiber-Hadza-Nepal_C_14_2320.237.fa,0.017777778,5.51E-07,0.2,5.66E-07,0.108614232,5.62E-07,0.005145798,4.46E-07,0,,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__V9D3004;s__,Firmicutes_A,V9D3004 sp.,TRUE,3.11E-26,25.50721955,-0.2,77.36650485,
REFINED_METABAT215_TOP10_CONTIGS_1500_ASSEMBLY_K77_MERGED__Hadza_PheChl_Fiber-Hadza-Nepal_C_22_1305.183.fa,0.016111111,1.41E-06,0.2,1.49E-06,0.108614232,1.41E-06,0,,0,,d__Bacteria;p__Firmicutes;c__Bacilli;o__RF39;f__CAG-1000;g__CAG-605;s__,Firmicutes,CAG-605 sp.,TRUE,3.11E-26,25.50721955,-0.2,77.36650485,
REFINED_METABAT215_TOP10_CONTIGS_1500_ASSEMBLY_K77_MERGED__Hadza_PheChl_Fiber-Hadza-Nepal_E_18_1662.123.fa,0.015555556,6.13E-07,0.2,6.11E-07,0.104868914,6.13E-07,0,,0,,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Eubacterium_I;s__,Firmicutes_A,Eubacterium_I sp.,TRUE,3.11E-26,25.50721955,-0.2,77.36650485,
REFINED_METABAT215_TOP10_CONTIGS_1500_ASSEMBLY_K77_MERGED__Hadza_PheChl_Fiber-Hadza-Nepal_E_18_1662.52.fa,0.017222222,7.50E-07,0.2,7.84E-07,0.104868914,7.68E-07,0.005145798,5.85E-07,0,,d__Bacteria;p__Firmicutes_A;c__Clostridia_A;o__Christensenellales;f__CAG-74;g__Firm-10;s__,Firmicutes_A,Firm-10 sp.,TRUE,3.11E-26,25.50721955,-0.2,77.36650485,
REFINED_METABAT215_TOP10_CONTIGS_1500_ASSEMBLY_K77_MERGED__Hadza_PheChl_Fiber-Hadza-Nepal_E_2_1315.268.fa,0.015555556,2.04E-06,0.2,2.10E-06,0.104868914,2.04E-06,0,,0,,d__Bacteria;p__Spirochaetota;c__Spirochaetia;o__Sphaerochaetales;f__Sphaerochaetaceae;g__UBA5920;s__UBA5920 sp002406055,Spirochaetota,UBA5920 sp002406055,TRUE,3.11E-26,25.50721955,-0.2,77.36650485,
REFINED_METABAT215_TOP10_CONTIGS_1500_ASSEMBLY_K77_MERGED__Nepal_MoBio_Fiber-Hadza-Nepal_F_7_RAU0027AZ.311.fa,0.290555556,8.15E-07,0.577777778,1.08E-06,0.460674157,9.48E-07,0.451114923,8.43E-07,0.144210526,6.42E-07,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Faecalibacterium;s__Faecalibacterium prausnitzii_A,Firmicutes_A,Faecalibacterium prausnitzii_A,FALSE,3.35E-26,25.47453772,-0.433567251,77.10355987,
REFINED_METABAT215_TOP10_CONTIGS_1500_ASSEMBLY_K77_MERGED__Hadza_MoBio_hadza-A-D_H_24_1651.167.fa,0.122777778,1.94E-06,0.503703704,2.60E-06,0.325842697,2.23E-06,0.065180103,8.45E-07,0.101052632,2.11E-06,d__Bacteria;p__Firmicutes;c__Bacilli;o__RF39;f__CAG-1000;g__CAG-460;s__CAG-460 sp000437315,Firmicutes,CAG-460 sp000437315,FALSE,3.78E-26,25.42241178,-0.402651072,77.0631068,
GUT_GENOME257132.fna,0.037222222,8.33E-07,0.244444444,1.10E-06,0.157303371,9.64E-07,0.032590051,6.06E-07,0.006315789,6.35E-07,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Acutalibacteraceae;g__UMGS1484;s__,Firmicutes_A,UMGS1484 sp.,FALSE,5.58E-26,25.2533258,-0.238128655,77.02265372,
GUT_GENOME155972.fna,0.051111111,7.69E-07,0.311111111,7.71E-07,0.172284644,8.02E-07,0.042881647,8.12E-07,0.022105263,6.45E-07,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Pasteurellaceae;g__Haemophilus_D;s__Haemophilus_D parainfluenzae_K,Proteobacteria,Haemophilus_D parainfluenzae_K,FALSE,6.76E-26,25.16994002,-0.289005848,76.98220065,
GUT_GENOME270878.fna,0.017777778,1.38E-06,0.207407407,1.29E-06,0.108614232,1.28E-06,0.003430532,8.26E-07,0.001052632,5.40E-06,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__CAG-590;s__,Firmicutes_A,CAG-590 sp.,FALSE,8.31E-26,25.08055138,-0.206354776,76.9012945,
REFINED_METABAT215_TOP10_CONTIGS_1500_ASSEMBLY_K77_MERGED__Hadza_MoBio_hadza-A-D_D_1_1586.36.fa,0.018333333,1.06E-06,0.207407407,1.13E-06,0.119850187,1.09E-06,0,,0.001052632,2.06E-07,d__Bacteria;p__Firmicutes;c__Bacilli;o__RF39;f__CAG-302;g__RUG705;s__,Firmicutes,RUG705 sp.,TRUE,8.31E-26,25.08055138,-0.206354776,76.9012945,
REFINED_METABAT215_TOP10_CONTIGS_1500_ASSEMBLY_K77_MERGED__Nepal_MoBio_Fiber-Hadza-Nepal_F_19_RAU1029Y.176.fa,0.029444444,1.09E-06,0.207407407,1.00E-06,0.123595506,9.48E-07,0.032590051,1.32E-06,0.001052632,1.11E-06,d__Bacteria;p__Firmicutes_A;c__Clostridia_A;o__Christensenellales;f__Borkfalkiaceae;g__UBA1259;s__,Firmicutes_A,UBA1259 sp.,FALSE,8.31E-26,25.08055138,-0.206354776,76.9012945,
REFINED_METABAT215_TOP10_CONTIGS_1500_ASSEMBLY_K77_MERGED__Hadza_MoBio_hadza-E-H_B_2_2152.17.fa,0.089444444,1.36E-06,0.422222222,2.45E-06,0.269662921,2.11E-06,0.04974271,8.64E-07,0.063157895,6.91E-07,d__Bacteria;p__Firmicutes;c__Bacilli;o__RF39;f__CAG-433;g__CAG-433;s__CAG-433 sp900546245,Firmicutes,CAG-433 sp900546245,FALSE,9.96E-26,25.0017136,-0.359064327,76.82038835,
REFINED_METABAT215_TOP10_CONTIGS_1500_ASSEMBLY_K127_MEGAHIT__Hadza_MoBio_hadza-A-D_C_6_1128.84.fa,0.020555556,6.30E-07,0.214814815,6.89E-07,0.123595506,6.41E-07,0.003430532,2.83E-07,0.002105263,8.10E-07,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Ruminococcus;s__,Firmicutes_A,Ruminococcus sp.,FALSE,1.22E-25,24.91421287,-0.212709552,76.75970874,
REFINED_METABAT215_TOP10_CONTIGS_1500_ASSEMBLY_K77_MERGED__Hadza_PheChl_Fiber-Hadza-Nepal_A_10_1531.309.fa,0.020555556,7.58E-07,0.214814815,7.97E-07,0.119850187,8.08E-07,0.005145798,5.03E-07,0.002105263,3.38E-07,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__;s__,Firmicutes_A,Oscillospiraceae sp.,FALSE,1.22E-25,24.91421287,-0.212709552,76.75970874,
REFINED_METABAT215_TOP10_CONTIGS_1500_ASSEMBLY_K77_MERGED__Hadza_PheChl_Fiber-Hadza-Nepal_A_14_1640.348.fa,0.025,4.64E-06,0.222222222,6.22E-06,0.142322097,5.38E-06,0.006861063,8.43E-07,0.003157895,3.53E-07,d__Bacteria;p__Firmicutes;c__Bacilli;o__RF39;f__CAG-302;g__;s__,Firmicutes,CAG-302 sp.,FALSE,1.30E-25,24.88651772,-0.219064327,76.69902913,
GUT_GENOME258050.fna,0.145555556,1.40E-06,0.437037037,1.10E-06,0.314606742,1.25E-06,0.188679245,1.48E-06,0.071578947,1.45E-06,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__CAG-95;s__,Firmicutes_A,CAG-95 sp.,FALSE,2.48E-25,24.60528043,-0.36545809,76.65857605,
REFINED_METABAT215_TOP10_CONTIGS_1500_ASSEMBLY_K77_MERGED__Hadza_MoBio_hadza-A-D_M_24_1194.86.fa,0.020555556,2.38E-06,0.192592593,2.20E-06,0.119850187,2.45E-06,0.008576329,1.87E-06,0,,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Ruminiclostridium_E;s__Ruminiclostridium_E sp900556525,Firmicutes_A,Ruminiclostridium_E sp900556525,FALSE,3.02E-25,24.51975009,-0.192592593,76.49676375,
REFINED_METABAT215_TOP10_CONTIGS_1500_ASSEMBLY_K77_MERGED__Hadza_MoBio_hadza-E-H_D_16_2189.254.fa,0.015555556,4.15E-07,0.192592593,4.15E-07,0.097378277,4.15E-07,0.003430532,4.07E-07,0,,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__UBA1390;g__;s__,Firmicutes_A,UBA1390 sp.,TRUE,3.02E-25,24.51975009,-0.192592593,76.49676375,
REFINED_METABAT215_TOP10_CONTIGS_1500_ASSEMBLY_K77_MERGED__Hadza_MoBio_hadza-I-L_I_15_2475.39.fa,0.018888889,2.55E-06,0.192592593,2.83E-06,0.101123596,2.74E-06,0.012006861,1.78E-06,0,,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__UMGS1810;f__UMGS1810;g__;s__,Firmicutes_A,UMGS1810 sp.,TRUE,3.02E-25,24.51975009,-0.192592593,76.49676375,
REFINED_METABAT215_TOP10_CONTIGS_1500_ASSEMBLY_K77_MERGED__Hadza_MoBio_hadza-I-L_I_17_2476.110.fa,0.024444444,2.47E-06,0.192592593,3.38E-06,0.108614232,3.08E-06,0.025728988,1.30E-06,0,,d__Bacteria;p__Firmicutes_A;c__Clostridia_A;o__Christensenellales;f__Borkfalkiaceae;g__UBA4636;s__,Firmicutes_A,UBA4636 sp.,FALSE,3.02E-25,24.51975009,-0.192592593,76.49676375,
REFINED_METABAT215_TOP10_CONTIGS_1500_ASSEMBLY_K77_MERGED__Hadza_MoBio_hadza-I-L_K_14_2624.104.fa,0.022222222,5.98E-06,0.192592593,8.69E-06,0.116104869,7.42E-06,0.015437393,1.03E-06,0,,d__Bacteria;p__Verrucomicrobiota;c__Kiritimatiellae;o__RFP12;f__UBA1067;g__UBA1731;s__,Verrucomicrobiota,UBA1731 sp.,FALSE,3.02E-25,24.51975009,-0.192592593,76.49676375,
REFINED_METABAT215_TOP10_CONTIGS_1500_ASSEMBLY_K77_MERGED__Hadza_MoBio_hadza-I-L_O_11_2507.263.fa,0.017222222,3.68E-07,0.192592593,3.92E-07,0.104868914,3.81E-07,0.005145798,2.49E-07,0,,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__UBA1762;s__,Firmicutes_A,UBA1762 sp.,TRUE,3.02E-25,24.51975009,-0.192592593,76.49676375,
REFINED_METABAT215_TOP10_CONTIGS_1500_ASSEMBLY_K77_MERGED__Hadza_PheChl_Fiber-Hadza-Nepal_C_12_2317.341.fa,0.018888889,8.14E-07,0.192592593,9.08E-07,0.112359551,8.60E-07,0.006861063,4.70E-07,0,,d__Bacteria;p__Firmicutes_A;c__Clostridia_A;o__Christensenellales;f__CAG-74;g__SFMI01;s__,Firmicutes_A,SFMI01 sp.,TRUE,3.02E-25,24.51975009,-0.192592593,76.49676375,
GUT_GENOME172369.fna,0.198333333,4.85E-06,0.488888889,7.44E-06,0.456928839,4.85E-06,0.243567753,5.20E-06,0.097894737,4.30E-06,d__Bacteria;p__Firmicutes_A;c__Clostridia_A;o__Christensenellales;f__CAG-917;g__CAG-349;s__CAG-349 sp003539515,Firmicutes_A,CAG-349 sp003539515,FALSE,3.04E-25,24.51736536,-0.390994152,76.33495146,
REFINED_METABAT215_TOP10_CONTIGS_1500_ASSEMBLY_K77_MERGED__Hadza_MoBio_hadza-A-D_L_23_1525.128.fa,0.093888889,1.68E-06,0.348148148,3.15E-06,0.239700375,2.60E-06,0.121783877,1.17E-06,0.035789474,1.03E-06,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Faecalibacterium;s__,Firmicutes_A,Faecalibacterium sp.,TRUE,3.28E-25,24.48419987,-0.312358674,76.29449838,
REFINED_METABAT215_TOP10_CONTIGS_1500_ASSEMBLY_K77_MERGED__Hadza_MoBio_hadza-A-D_O_4_1196.338.fa,0.066666667,1.25E-06,0.259259259,1.52E-06,0.183520599,1.34E-06,0.104631218,1.25E-06,0.010526316,8.35E-07,d__Archaea;p__Thermoplasmatota;c__Thermoplasmata;o__Methanomassiliicoccales;f__Methanomethylophilaceae;g__UBA71;s__UBA71 sp006954465,Thermoplasmatota,UBA71 sp006954465,FALSE,3.47E-25,24.45934187,-0.248732943,76.25404531,
GUT_GENOME154595.fna,0.131111111,2.37E-06,0.459259259,1.17E-06,0.310861423,1.16E-06,0.126929674,2.49E-06,0.083157895,3.52E-06,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__CAG-882;s__CAG-882 sp003486385,Firmicutes_A,CAG-882 sp003486385,FALSE,3.85E-25,24.41498751,-0.376101365,76.21359223,
REFINED_METABAT215_TOP10_CONTIGS_1500_ASSEMBLY_K77_MERGED__Nepal_MoBio_Fiber-Hadza-Nepal_F_3_RAJ1020YZ.124.fa,0.070555556,6.66E-07,0.348148148,4.87E-07,0.202247191,4.62E-07,0.065180103,6.46E-07,0.036842105,1.00E-06,d__Bacteria;p__Firmicutes;c__Bacilli;o__RFN20;f__CAG-449;g__CAG-449;s__CAG-449 sp000432895,Firmicutes,CAG-449 sp000432895,FALSE,7.03E-25,24.1533313,-0.311306043,76.17313916,
REFINED_METABAT215_TOP10_CONTIGS_1500_ASSEMBLY_K77_MERGED__Hadza_MoBio_hadza-A-D_H_2_1640.178.fa,0.018888889,5.12E-07,0.2,5.42E-07,0.108614232,5.36E-07,0.006861063,3.75E-07,0.001052632,3.87E-07,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__CAG-272;g__UMGS2055;s__UMGS2055 sp900557635,Firmicutes_A,UMGS2055 sp900557635,FALSE,7.85E-25,24.10506385,-0.198947368,76.13268608,
REFINED_METABAT215_TOP10_CONTIGS_1500_ASSEMBLY_K77_MERGED__Hadza_MoBio_hadza-E-H_B_9_1942.272.fa,0.026666667,1.84E-06,0.222222222,2.12E-06,0.123595506,1.98E-06,0.018867925,5.86E-07,0.004210526,4.13E-06,d__Bacteria;p__Firmicutes;c__Bacilli;o__RF39;f__CAG-1000;g__CAG-1000;s__,Firmicutes,CAG-1000 sp.,FALSE,9.97E-25,24.0011938,-0.218011696,76.09223301,
GUT_GENOME000247.fna,0.186111111,1.23E-06,0.644444444,1.81E-06,0.4082397,1.71E-06,0.060034305,1.02E-06,0.201052632,9.97E-07,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Peptostreptococcales;f__Peptostreptococcaceae;g__Intestinibacter;s__Intestinibacter bartlettii,Firmicutes_A,Intestinibacter bartlettii,FALSE,1.12E-24,23.95169631,-0.443391813,76.05177994,
GUT_GENOME234270.fna,0.04,5.24E-07,0.207407407,3.93E-07,0.172284644,3.93E-07,0.041166381,5.98E-07,0.002105263,2.66E-06,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__CAG-272;g__UBA1740;s__,Firmicutes_A,UBA1740 sp.,FALSE,1.12E-24,23.94916487,-0.205302144,75.97087379,
REFINED_METABAT215_TOP10_CONTIGS_1500_ASSEMBLY_K77_MERGED__Hadza_MoBio_hadza-A-D_K_22_1166.130.fa,0.022222222,2.89E-06,0.207407407,3.77E-06,0.119850187,3.37E-06,0.010291595,9.86E-07,0.002105263,9.16E-07,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__TANB77;f__CAG-508;g__;s__,Firmicutes_A,CAG-508 sp.,TRUE,1.12E-24,23.94916487,-0.205302144,75.97087379,
REFINED_METABAT215_TOP10_CONTIGS_1500_ASSEMBLY_K77_MERGED__Hadza_MoBio_hadza-E-H_N_16_2338.183.fa,0.018333333,2.10E-06,0.207407407,2.40E-06,0.112359551,2.27E-06,0.001715266,2.00E-07,0.002105263,5.19E-07,d__Bacteria;p__Firmicutes;c__Bacilli;o__RF39;f__CAG-1000;g__UBA11963;s__,Firmicutes,UBA11963 sp.,TRUE,1.12E-24,23.94916487,-0.205302144,75.97087379,
REFINED_METABAT215_TOP10_CONTIGS_1500_ASSEMBLY_K77_MERGED__Nepal_MoBio_Fiber-Hadza-Nepal_D_5_THA1074JZ.152.fa,0.153333333,1.49E-06,0.548148148,2.48E-06,0.337078652,2.32E-06,0.096054889,1.81E-06,0.136842105,7.87E-07,d__Bacteria;p__Firmicutes;c__Bacilli;o__RF39;f__CAG-433;g__CAG-433;s__CAG-433 sp000433675,Firmicutes,CAG-433 sp000433675,FALSE,1.96E-24,23.70673955,-0.411306043,75.88996764,
GUT_GENOME020571.fna,0.448333333,1.49E-06,0.8,2.77E-06,0.610486891,2.22E-06,0.552315609,1.67E-06,0.338947368,9.35E-07,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__CAG-170;s__CAG-170 sp002404795,Firmicutes_A,CAG-170 sp002404795,FALSE,2.13E-24,23.67073606,-0.461052632,75.84951456,
GUT_GENOME018575.fna,0.05,1.36E-06,0.318518519,1.32E-06,0.183520599,1.29E-06,0.024013722,1.24E-06,0.028421053,1.57E-06,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Ruminococcus_C;s__,Firmicutes_A,Ruminococcus_C sp.,FALSE,2.33E-24,23.63294266,-0.290097466,75.80906149,
GUT_GENOME017973.fna,0.020555556,1.29E-06,0.185185185,1.19E-06,0.119850187,1.36E-06,0.008576329,8.46E-07,0,,d__Bacteria;p__Actinobacteriota;c__Coriobacteriia;o__Coriobacteriales;f__UMGS124;g__UMGS124;s__,Actinobacteriota,UMGS124 sp.,FALSE,2.91E-24,23.53583691,-0.185185185,75.58656958,
GUT_GENOME129323.fna,0.033888889,9.11E-07,0.185185185,9.52E-07,0.119850187,9.99E-07,0.04974271,8.14E-07,0,,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__CAG-272;g__UMGS1696;s__,Firmicutes_A,UMGS1696 sp.,FALSE,2.91E-24,23.53583691,-0.185185185,75.58656958,
REFINED_METABAT215_TOP10_CONTIGS_1500_ASSEMBLY_K77_MERGED__Hadza_MoBio_hadza-A-D_J_18_1660.308.fa,0.019444444,1.83E-06,0.185185185,1.37E-06,0.127340824,1.87E-06,0.001715266,4.16E-07,0,,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Acutalibacteraceae;g__UBA1081;s__UBA1081 sp900543395,Firmicutes_A,UBA1081 sp900543395,FALSE,2.91E-24,23.53583691,-0.185185185,75.58656958,
REFINED_METABAT215_TOP10_CONTIGS_1500_ASSEMBLY_K77_MERGED__Hadza_MoBio_hadza-A-D_N_3_1523.222.fa,0.015,3.68E-07,0.185185185,3.72E-07,0.093632959,3.72E-07,0.003430532,3.18E-07,0,,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__CAG-272;g__;s__,Firmicutes_A,CAG-272 sp.,TRUE,2.91E-24,23.53583691,-0.185185185,75.58656958,
REFINED_METABAT215_TOP10_CONTIGS_1500_ASSEMBLY_K77_MERGED__Hadza_MoBio_hadza-E-H_F_1_1963.250.fa,0.015555556,9.61E-07,0.185185185,1.06E-06,0.101123596,9.88E-07,0.001715266,2.35E-07,0,,d__Bacteria;p__Firmicutes;c__Bacilli;o__RF39;f__CAG-611;g__RUG591;s__,Firmicutes,RUG591 sp.,TRUE,2.91E-24,23.53583691,-0.185185185,75.58656958,
REFINED_METABAT215_TOP10_CONTIGS_1500_ASSEMBLY_K77_MERGED__Hadza_MoBio_hadza-E-H_H_1_1976.115.fa,0.016111111,2.49E-06,0.185185185,2.72E-06,0.104868914,2.51E-06,0.001715266,2.16E-06,0,,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__CAG-83;s__,Firmicutes_A,CAG-83 sp.,FALSE,2.91E-24,23.53583691,-0.185185185,75.58656958,
REFINED_METABAT215_TOP10_CONTIGS_1500_ASSEMBLY_K77_MERGED__Hadza_MoBio_hadza-I-L_K_9_2483.82.fa,0.022222222,5.60E-07,0.185185185,5.97E-07,0.101123596,5.87E-07,0.022298456,5.03E-07,0,,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__CAG-272;g__UMGS874;s__,Firmicutes_A,UMGS874 sp.,TRUE,2.91E-24,23.53583691,-0.185185185,75.58656958,
REFINED_METABAT215_TOP10_CONTIGS_1500_ASSEMBLY_K77_MERGED__Hadza_PheChl_Fiber-Hadza-Nepal_A_22_1655.288.fa,0.014444444,2.39E-06,0.185185185,2.46E-06,0.097378277,2.39E-06,0,,0,,d__Bacteria;p__Actinobacteriota;c__Coriobacteriia;o__Coriobacteriales;f__Coriobacteriaceae;g__Collinsella;s__,Actinobacteriota,Collinsella sp.,TRUE,2.91E-24,23.53583691,-0.185185185,75.58656958,
REFINED_METABAT215_TOP10_CONTIGS_1500_ASSEMBLY_K77_MERGED__Hadza_PheChl_Fiber-Hadza-Nepal_E_12_1556.58.fa,0.016666667,1.77E-06,0.185185185,1.89E-06,0.104868914,1.79E-06,0.003430532,1.38E-06,0,,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__TANB77;f__CAG-508;g__CAG-273;s__,Firmicutes_A,CAG-273 sp.,TRUE,2.91E-24,23.53583691,-0.185185185,75.58656958,
REFINED_METABAT215_TOP10_CONTIGS_1500_ASSEMBLY_K77_MERGED__Nepal_MoBio_Fiber-Hadza-Nepal_J_1_RAJ1015YZ.179.fa,0.021111111,4.99E-07,0.185185185,4.52E-07,0.119850187,4.14E-07,0.010291595,9.52E-07,0,,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__;s__,Firmicutes_A,Oscillospiraceae sp.,TRUE,2.91E-24,23.53583691,-0.185185185,75.58656958,
REFINED_METABAT215_TOP10_CONTIGS_1500_ASSEMBLY_K77_MERGED__Nepal_MoBio_Fiber-Hadza-Nepal_H_13_CHE1006Z.130.fa,0.065,5.47E-06,0.348148148,9.59E-06,0.209737828,8.53E-06,0.041166381,2.91E-06,0.038947368,2.49E-06,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Acutalibacteraceae;g__Ruminococcus_E;s__,Firmicutes_A,Ruminococcus_E sp.,FALSE,3.07E-24,23.51234528,-0.30920078,75.36407767,
GUT_GENOME252307.fna,0.108888889,5.28E-07,0.4,5.60E-07,0.228464419,5.47E-07,0.133790738,5.98E-07,0.06,4.14E-07,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__CAG-272;g__UMGS1815;s__UMGS1815 sp900550625,Firmicutes_A,UMGS1815 sp900550625,FALSE,3.70E-24,23.43146825,-0.34,75.3236246,
GUT_GENOME222507.fna,0.055555556,1.16E-06,0.22962963,6.77E-07,0.168539326,6.43E-07,0.084048027,1.67E-06,0.006315789,9.38E-07,d__Bacteria;p__Firmicutes_A;c__Clostridia_A;o__Christensenellales;f__Borkfalkiaceae;g__UBA10281;s__,Firmicutes_A,UBA10281 sp.,FALSE,4.08E-24,23.38937532,-0.22331384,75.24271845,
