Genome,Kingdom,Phylum,Class,Order,Family,Genus,Species
GUT_GENOME010023.fna,Bacteria                               ,Bacteroidota                           ,Bacteroidia                            ,Bacteroidales                          ,Rikenellaceae                          ,Alistipes                              ,Alistipes sp001941065                  
GUT_GENOME010079.fna,Bacteria                               ,Firmicutes_A                           ,Clostridia                             ,Oscillospirales                        ,CAG-272                                ,UMGS1865                               ,                                       
GUT_GENOME010315.fna,Bacteria                               ,Verrucomicrobiota                      ,Verrucomicrobiae                       ,Opitutales                             ,CAG-312                                ,CAG-312                                ,CAG-312 sp900545705                    
GUT_GENOME010373.fna,Bacteria                               ,Firmicutes_A                           ,Clostridia                             ,Oscillospirales                        ,Acutalibacteraceae                     ,Eubacterium_R                          ,                                       
GUT_GENOME010448.fna,Bacteria                               ,Firmicutes_A                           ,Clostridia_A                           ,Christensenellales                     ,Borkfalkiaceae                         ,Borkfalkia                             ,Borkfalkia ceftriaxoniphila            
GUT_GENOME010560.fna,Bacteria                               ,Firmicutes                             ,Bacilli                                ,RF39                                   ,CAG-822                                ,UMGS1045                               ,UMGS1045 sp900547995                   
GUT_GENOME010707.fna,Bacteria                               ,Firmicutes_A                           ,Clostridia                             ,TANB77                                 ,CAG-508                                ,CAG-269                                ,CAG-269 sp000438255                    
GUT_GENOME010812.fna,Bacteria                               ,Bacteroidota                           ,Bacteroidia                            ,Flavobacteriales                       ,UBA1820                                ,UBA1820                                ,UBA1820 sp002314265                    
GUT_GENOME010945.fna,Bacteria                               ,Firmicutes_A                           ,Clostridia                             ,Oscillospirales                        ,Acutalibacteraceae                     ,Eubacterium_R                          ,Eubacterium_R sp900539775              
GUT_GENOME011023.fna,Bacteria                               ,Firmicutes_A                           ,Clostridia                             ,Oscillospirales                        ,Acutalibacteraceae                     ,                                       ,                                       
GUT_GENOME011051.fna,Bacteria                               ,Firmicutes_A                           ,Clostridia_A                           ,Christensenellales                     ,CAG-314                                ,CAG-314                                ,CAG-314 sp900551395                    
GUT_GENOME011056.fna,Bacteria                               ,Firmicutes_A                           ,Clostridia_A                           ,Christensenellales                     ,UBA1242                                ,                                       ,                                       
GUT_GENOME011129.fna,Bacteria                               ,Firmicutes_A                           ,Clostridia_A                           ,Christensenellales                     ,CAG-917                                ,CAG-475                                ,CAG-475 sp900550915                    
GUT_GENOME011136.fna,Bacteria                               ,Firmicutes_A                           ,Clostridia_A                           ,Christensenellales                     ,UBA1242                                ,UBA11517                               ,                                       
GUT_GENOME011204.fna,Bacteria                               ,Firmicutes                             ,Bacilli                                ,RF39                                   ,CAG-1000                               ,CAG-460                                ,                                       
GUT_GENOME011213.fna,Bacteria                               ,Verrucomicrobiota                      ,Lentisphaeria                          ,Victivallales                          ,Victivallaceae                         ,                                       ,                                       
GUT_GENOME011266.fna,Bacteria                               ,Firmicutes_A                           ,Clostridia                             ,Oscillospirales                        ,CAG-272                                ,UMGS1696                               ,UMGS1696 sp900554225                   
GUT_GENOME011366.fna,Bacteria                               ,Spirochaetota                          ,Brachyspirae                           ,Brachyspirales                         ,Brachyspiraceae                        ,Brachyspira                            ,Brachyspira pilosicoli                 
GUT_GENOME011451.fna,Bacteria                               ,Firmicutes                             ,Bacilli                                ,RFN20                                  ,CAG-288                                ,UBA7642                                ,                                       
GUT_GENOME011719.fna,Bacteria                               ,Proteobacteria                         ,Gammaproteobacteria                    ,Burkholderiales                        ,Burkholderiaceae                       ,Duodenibacillus                        ,Duodenibacillus sp900544335            
GUT_GENOME011747.fna,Bacteria                               ,Firmicutes_A                           ,Clostridia                             ,Oscillospirales                        ,CAG-382                                ,UMGS882                                ,UMGS882 sp900546385                    
GUT_GENOME012053.fna,Bacteria                               ,Verrucomicrobiota                      ,Verrucomicrobiae                       ,Opitutales                             ,CAG-312                                ,CAG-312                                ,CAG-312 sp900546565                    
GUT_GENOME012905.fna,Bacteria                               ,Firmicutes_C                           ,Negativicutes                          ,Acidaminococcales                      ,Acidaminococcaceae                     ,Phascolarctobacterium_A                ,                                       
GUT_GENOME013034.fna,Bacteria                               ,Firmicutes_A                           ,Clostridia                             ,Oscillospirales                        ,Ruminococcaceae                        ,CAG-115                                ,                                       
GUT_GENOME013046.fna,Bacteria                               ,Firmicutes                             ,Bacilli                                ,Acholeplasmatales                      ,Anaeroplasmataceae                     ,                                       ,                                       
GUT_GENOME013055.fna,Bacteria                               ,Firmicutes_A                           ,Clostridia                             ,Oscillospirales                        ,CAG-272                                ,UMGS1865                               ,                                       
GUT_GENOME013112.fna,Bacteria                               ,Cyanobacteria                          ,Vampirovibrionia                       ,Gastranaerophilales                    ,Gastranaerophilaceae                   ,UBA2883                                ,UBA2883 sp002103075                    
GUT_GENOME013238.fna,Bacteria                               ,Verrucomicrobiota                      ,Verrucomicrobiae                       ,Opitutales                             ,CAG-312                                ,QALA01                                 ,                                       
GUT_GENOME013505.fna,Bacteria                               ,Firmicutes_A                           ,Clostridia                             ,Lachnospirales                         ,Lachnospiraceae                        ,CAG-127                                ,CAG-127 sp900553925                    
GUT_GENOME013685.fna,Bacteria                               ,Cyanobacteria                          ,Vampirovibrionia                       ,Gastranaerophilales                    ,Gastranaerophilaceae                   ,UMGS1585                               ,                                       
GUT_GENOME013721.fna,Bacteria                               ,Verrucomicrobiota                      ,Verrucomicrobiae                       ,Opitutales                             ,CAG-312                                ,CAG-312                                ,CAG-312 sp000438015                    
GUT_GENOME013723.fna,Bacteria                               ,Firmicutes_A                           ,Clostridia                             ,Oscillospirales                        ,Acutalibacteraceae                     ,                                       ,                                       
GUT_GENOME013773.fna,Bacteria                               ,Proteobacteria                         ,Alphaproteobacteria                    ,RF32                                   ,CAG-239                                ,RUG410                                 ,                                       
GUT_GENOME013942.fna,Bacteria                               ,Firmicutes_A                           ,Clostridia                             ,Oscillospirales                        ,CAG-272                                ,CAG-724                                ,CAG-724 sp003524145                    
GUT_GENOME014039.fna,Bacteria                               ,Firmicutes_A                           ,Clostridia                             ,Oscillospirales                        ,Ruminococcaceae                        ,Faecalibacterium                       ,                                       
GUT_GENOME014048.fna,Bacteria                               ,Campylobacterota                       ,Campylobacteria                        ,Campylobacterales                      ,Helicobacteraceae                      ,Helicobacter_B                         ,Helicobacter_B fennelliae              
GUT_GENOME014183.fna,Bacteria                               ,Firmicutes_A                           ,Clostridia                             ,Oscillospirales                        ,Acutalibacteraceae                     ,UBA737                                 ,UBA737 sp900547095                     
GUT_GENOME014237.fna,Bacteria                               ,Firmicutes_A                           ,Clostridia                             ,Oscillospirales                        ,CAG-272                                ,Firm-07                                ,Firm-07 sp900548735                    
GUT_GENOME014311.fna,Archaea                                ,Methanobacteriota                      ,Methanobacteria                        ,Methanobacteriales                     ,Methanobacteriaceae                    ,Methanobrevibacter_A                   ,                                       
GUT_GENOME014720.fna,Bacteria                               ,Cyanobacteria                          ,Vampirovibrionia                       ,Gastranaerophilales                    ,Gastranaerophilaceae                   ,UMGS1585                               ,UMGS1585 sp900553205                   
GUT_GENOME014725.fna,Bacteria                               ,Firmicutes_A                           ,Clostridia_A                           ,Christensenellales                     ,CAG-138                                ,PeH17                                  ,PeH17 sp000435055                      
GUT_GENOME014765.fna,Bacteria                               ,Actinobacteriota                       ,Coriobacteriia                         ,Coriobacteriales                       ,Coriobacteriaceae                      ,Collinsella                            ,                                       
GUT_GENOME014819.fna,Bacteria                               ,Firmicutes_A                           ,Clostridia                             ,Lachnospirales                         ,Lachnospiraceae                        ,CAG-510                                ,CAG-510 sp000434615                    
GUT_GENOME014888.fna,Bacteria                               ,Bacteroidota                           ,Bacteroidia                            ,Bacteroidales                          ,Bacteroidaceae                         ,Prevotella                             ,Prevotella sp900543975                 
GUT_GENOME014977.fna,Bacteria                               ,Firmicutes_A                           ,Clostridia                             ,Oscillospirales                        ,Ruminococcaceae                        ,UMGS1826                               ,UMGS1826 sp900555435                   
GUT_GENOME015136.fna,Bacteria                               ,Firmicutes_A                           ,Clostridia                             ,Lachnospirales                         ,Lachnospiraceae                        ,Oribacterium                           ,Oribacterium sp004554245               
GUT_GENOME015181.fna,Bacteria                               ,Firmicutes                             ,Bacilli                                ,RF39                                   ,CAG-302                                ,CAG-762                                ,CAG-762 sp000432575                    
GUT_GENOME015477.fna,Bacteria                               ,Cyanobacteria                          ,Vampirovibrionia                       ,Gastranaerophilales                    ,Gastranaerophilaceae                   ,Zag1                                   ,                                       
GUT_GENOME015763.fna,Bacteria                               ,Firmicutes                             ,Bacilli                                ,Erysipelotrichales                     ,Erysipelatoclostridiaceae              ,Catenibacterium                        ,                                       
GUT_GENOME015816.fna,Bacteria                               ,Proteobacteria                         ,Gammaproteobacteria                    ,Burkholderiales                        ,Burkholderiaceae                       ,Sutterella                             ,                                       
GUT_GENOME016875.fna,Bacteria                               ,Bacteroidota                           ,Bacteroidia                            ,Bacteroidales                          ,Bacteroidaceae                         ,Paraprevotella                         ,Paraprevotella sp900546665             
GUT_GENOME017342.fna,Bacteria                               ,Firmicutes_A                           ,Clostridia                             ,Oscillospirales                        ,Ruminococcaceae                        ,CAG-115                                ,CAG-115 sp003507295                    
GUT_GENOME017394.fna,Bacteria                               ,Firmicutes_A                           ,Clostridia                             ,Lachnospirales                         ,Lachnospiraceae                        ,Lachnospira                            ,Lachnospira sp000437735                
GUT_GENOME017427.fna,Bacteria                               ,Bacteroidota                           ,Bacteroidia                            ,Bacteroidales                          ,Rikenellaceae                          ,Alistipes                              ,Alistipes putredinis                   
GUT_GENOME017597.fna,Bacteria                               ,Bacteroidota                           ,Bacteroidia                            ,Bacteroidales                          ,Muribaculaceae                         ,CAG-279                                ,CAG-279 sp900544305                    
GUT_GENOME017622.fna,Bacteria                               ,Actinobacteriota                       ,Actinomycetia                          ,Actinomycetales                        ,Actinomycetaceae                       ,Pauljensenia                           ,Pauljensenia turicensis                
GUT_GENOME017737.fna,Bacteria                               ,Firmicutes_A                           ,Clostridia                             ,Lachnospirales                         ,Lachnospiraceae                        ,                                       ,                                       
GUT_GENOME017739.fna,Bacteria                               ,Verrucomicrobiota                      ,Lentisphaeria                          ,Victivallales                          ,UBA1829                                ,UBA11452                               ,UBA11452 sp003526375                   
GUT_GENOME017791.fna,Bacteria                               ,Actinobacteriota                       ,Coriobacteriia                         ,Coriobacteriales                       ,Eggerthellaceae                        ,UMGS1502                               ,                                       
GUT_GENOME017795.fna,Bacteria                               ,Firmicutes_A                           ,Clostridia                             ,Lachnospirales                         ,Lachnospiraceae                        ,                                       ,                                       
GUT_GENOME017813.fna,Bacteria                               ,Actinobacteriota                       ,Coriobacteriia                         ,Coriobacteriales                       ,Coriobacteriaceae                      ,Collinsella                            ,                                       
GUT_GENOME017828.fna,Bacteria                               ,Firmicutes                             ,Bacilli                                ,Lactobacillales                        ,Streptococcaceae                       ,Streptococcus                          ,Streptococcus vestibularis             
GUT_GENOME017898.fna,Bacteria                               ,Firmicutes                             ,Bacilli                                ,Lactobacillales                        ,Streptococcaceae                       ,Lactococcus                            ,Lactococcus garvieae                   
GUT_GENOME017938.fna,Bacteria                               ,Firmicutes_A                           ,Clostridia                             ,Lachnospirales                         ,Lachnospiraceae                        ,Acetatifactor                          ,                                       
GUT_GENOME017973.fna,Bacteria                               ,Actinobacteriota                       ,Coriobacteriia                         ,Coriobacteriales                       ,UMGS124                                ,UMGS124                                ,                                       
GUT_GENOME017995.fna,Bacteria                               ,Firmicutes_A                           ,Clostridia                             ,Monoglobales_A                         ,UBA1381                                ,                                       ,                                       
GUT_GENOME018115.fna,Bacteria                               ,Firmicutes_A                           ,Clostridia                             ,Oscillospirales                        ,Ruminococcaceae                        ,Faecalibacterium                       ,                                       
GUT_GENOME018146.fna,Bacteria                               ,Firmicutes_C                           ,Negativicutes                          ,Acidaminococcales                      ,Acidaminococcaceae                     ,Phascolarctobacterium_A                ,Phascolarctobacterium_A succinatutens_A
GUT_GENOME018161.fna,Bacteria                               ,Actinobacteriota                       ,Coriobacteriia                         ,Coriobacteriales                       ,Coriobacteriaceae                      ,Collinsella                            ,                                       
GUT_GENOME018175.fna,Bacteria                               ,Actinobacteriota                       ,Coriobacteriia                         ,Coriobacteriales                       ,Coriobacteriaceae                      ,Collinsella                            ,                                       
GUT_GENOME018196.fna,Bacteria                               ,Actinobacteriota                       ,Coriobacteriia                         ,Coriobacteriales                       ,Eggerthellaceae                        ,UMGS1293                               ,                                       
GUT_GENOME018376.fna,Bacteria                               ,Actinobacteriota                       ,Coriobacteriia                         ,Coriobacteriales                       ,Coriobacteriaceae                      ,Collinsella                            ,                                       
GUT_GENOME018425.fna,Bacteria                               ,Firmicutes_A                           ,Clostridia                             ,Lachnospirales                         ,Lachnospiraceae                        ,CAG-791                                ,CAG-791 sp000431495                    
GUT_GENOME018456.fna,Bacteria                               ,Actinobacteriota                       ,Coriobacteriia                         ,Coriobacteriales                       ,Eggerthellaceae                        ,CAG-1427                               ,CAG-1427 sp900544455                   
GUT_GENOME018575.fna,Bacteria                               ,Firmicutes_A                           ,Clostridia                             ,Oscillospirales                        ,Ruminococcaceae                        ,Ruminococcus_C                         ,                                       
GUT_GENOME018576.fna,Bacteria                               ,Bacteroidota                           ,Bacteroidia                            ,Bacteroidales                          ,UBA932                                 ,RC9                                    ,RC9 sp000433355                        
GUT_GENOME018599.fna,Bacteria                               ,Firmicutes_A                           ,Clostridia                             ,Oscillospirales                        ,Acutalibacteraceae                     ,UMGS1491                               ,                                       
GUT_GENOME018614.fna,Bacteria                               ,Verrucomicrobiota                      ,Lentisphaeria                          ,Victivallales                          ,Victivallaceae                         ,UMGS1518                               ,                                       
GUT_GENOME018669.fna,Bacteria                               ,Proteobacteria                         ,Alphaproteobacteria                    ,RF32                                   ,CAG-239                                ,                                       ,                                       
GUT_GENOME018678.fna,Bacteria                               ,Actinobacteriota                       ,Coriobacteriia                         ,Coriobacteriales                       ,Eggerthellaceae                        ,Senegalimassilia                       ,Senegalimassilia sp004135645           
GUT_GENOME018684.fna,Bacteria                               ,Firmicutes_C                           ,Negativicutes                          ,Veillonellales                         ,Megasphaeraceae                        ,Megasphaera                            ,                                       
GUT_GENOME018700.fna,Bacteria                               ,Actinobacteriota                       ,Coriobacteriia                         ,Coriobacteriales                       ,Atopobiaceae                           ,Parolsenella                           ,Parolsenella massiliensis              
GUT_GENOME018848.fna,Bacteria                               ,Bacteroidota                           ,Bacteroidia                            ,Bacteroidales                          ,Muribaculaceae                         ,CAG-873                                ,CAG-873 sp900540625                    
GUT_GENOME018882.fna,Bacteria                               ,Firmicutes_A                           ,Clostridia                             ,Lachnospirales                         ,Lachnospiraceae                        ,Acetatifactor                          ,                                       
GUT_GENOME018957.fna,Bacteria                               ,Firmicutes_A                           ,Clostridia                             ,Lachnospirales                         ,Lachnospiraceae                        ,Blautia_A                              ,                                       
GUT_GENOME018982.fna,Bacteria                               ,Firmicutes_A                           ,Clostridia                             ,Lachnospirales                         ,Lachnospiraceae                        ,Eubacterium_J                          ,                                       
GUT_GENOME018983.fna,Bacteria                               ,Firmicutes_A                           ,Clostridia                             ,Lachnospirales                         ,Lachnospiraceae                        ,CAG-632                                ,                                       
GUT_GENOME019023.fna,Bacteria                               ,Cyanobacteria                          ,Vampirovibrionia                       ,Gastranaerophilales                    ,Gastranaerophilaceae                   ,CAG-196                                ,                                       
GUT_GENOME019095.fna,Bacteria                               ,Bacteroidota                           ,Bacteroidia                            ,Bacteroidales                          ,Bacteroidaceae                         ,Prevotella                             ,Prevotella sp002299635                 
GUT_GENOME019103.fna,Bacteria                               ,Proteobacteria                         ,Gammaproteobacteria                    ,Burkholderiales                        ,Burkholderiaceae                       ,Sutterella                             ,                                       
GUT_GENOME019121.fna,Bacteria                               ,Verrucomicrobiota                      ,Lentisphaeria                          ,Victivallales                          ,Victivallaceae                         ,Victivallis                            ,                                       
GUT_GENOME019145.fna,Bacteria                               ,Proteobacteria                         ,Gammaproteobacteria                    ,Burkholderiales                        ,SFHR01                                 ,                                       ,                                       
GUT_GENOME019194.fna,Bacteria                               ,Actinobacteriota                       ,Coriobacteriia                         ,Coriobacteriales                       ,Eggerthellaceae                        ,UMGS1773                               ,                                       
GUT_GENOME019319.fna,Bacteria                               ,Actinobacteriota                       ,Coriobacteriia                         ,Coriobacteriales                       ,Coriobacteriaceae                      ,Collinsella                            ,                                       
GUT_GENOME019330.fna,Bacteria                               ,Actinobacteriota                       ,Coriobacteriia                         ,Coriobacteriales                       ,Eggerthellaceae                        ,Senegalimassilia                       ,                                       
GUT_GENOME019335.fna,Bacteria                               ,Bacteroidota                           ,Bacteroidia                            ,Bacteroidales                          ,Bacteroidaceae                         ,Prevotella                             ,Prevotella sp900546535                 
GUT_GENOME019343.fna,Bacteria                               ,Actinobacteriota                       ,Coriobacteriia                         ,Coriobacteriales                       ,Coriobacteriaceae                      ,Collinsella                            ,                                       
GUT_GENOME019375.fna,Bacteria                               ,Firmicutes_A                           ,Clostridia                             ,Oscillospirales                        ,Acutalibacteraceae                     ,Eubacterium_R                          ,Eubacterium_R sp000436835              
GUT_GENOME019619.fna,Bacteria                               ,Firmicutes_A                           ,Clostridia                             ,Oscillospirales                        ,CAG-272                                ,CAG-390                                ,                                       
GUT_GENOME019659.fna,Bacteria                               ,Firmicutes_A                           ,Clostridia                             ,Lachnospirales                         ,Lachnospiraceae                        ,Anaerostipes                           ,Anaerostipes hadrus                    
GUT_GENOME020571.fna,Bacteria                               ,Firmicutes_A                           ,Clostridia                             ,Oscillospirales                        ,Oscillospiraceae                       ,CAG-170                                ,CAG-170 sp002404795                    
GUT_GENOME020577.fna,Bacteria                               ,Bacteroidota                           ,Bacteroidia                            ,Bacteroidales                          ,Bacteroidaceae                         ,Bacteroides                            ,Bacteroides togonis                    
GUT_GENOME020741.fna,Bacteria                               ,Bacteroidota                           ,Bacteroidia                            ,Bacteroidales                          ,UBA11471                               ,UBA11471                               ,UBA11471 sp000434215                   
GUT_GENOME020805.fna,Bacteria                               ,Firmicutes                             ,Bacilli                                ,Erysipelotrichales                     ,Erysipelotrichaceae                    ,Holdemanella                           ,Holdemanella sp900547815               
GUT_GENOME020894.fna,Bacteria                               ,Firmicutes_A                           ,Clostridia                             ,TANB77                                 ,CAG-508                                ,CAG-269                                ,                                       
GUT_GENOME021377.fna,Bacteria                               ,Firmicutes_A                           ,Clostridia_A                           ,Christensenellales                     ,Borkfalkiaceae                         ,UBA10281                               ,UBA10281 sp900556195                   
GUT_GENOME021839.fna,Bacteria                               ,Firmicutes                             ,Bacilli                                ,RFN20                                  ,CAG-826                                ,UBA733                                 ,UBA733 sp900550795                     
GUT_GENOME022125.fna,Bacteria                               ,Firmicutes_A                           ,Clostridia                             ,Lachnospirales                         ,Lachnospiraceae                        ,CAG-81                                 ,CAG-81 sp000435795                     
GUT_GENOME022136.fna,Bacteria                               ,Firmicutes_A                           ,Clostridia                             ,Peptostreptococcales                   ,Anaerovoracaceae                       ,CAG-238                                ,CAG-238 sp900551415                    
GUT_GENOME022295.fna,Bacteria                               ,Firmicutes                             ,Bacilli                                ,Erysipelotrichales                     ,Erysipelatoclostridiaceae              ,Erysipelatoclostridium                 ,Erysipelatoclostridium sp900544435     
GUT_GENOME022392.fna,Bacteria                               ,Bacteroidota                           ,Bacteroidia                            ,Bacteroidales                          ,UBA932                                 ,RC9                                    ,RC9 sp000431015                        
GUT_GENOME022484.fna,Bacteria                               ,Bacteroidota                           ,Bacteroidia                            ,Bacteroidales                          ,Bacteroidaceae                         ,Bacteroides                            ,Bacteroides congonensis                
GUT_GENOME022512.fna,Bacteria                               ,Spirochaetota                          ,Spirochaetia                           ,Sphaerochaetales                       ,Sphaerochaetaceae                      ,UBA5920                                ,                                       
GUT_GENOME022820.fna,Bacteria                               ,Firmicutes_A                           ,Clostridia_A                           ,Christensenellales                     ,UBA1242                                ,UMGS1470                               ,                                       
GUT_GENOME022861.fna,Bacteria                               ,Firmicutes                             ,Bacilli                                ,Lactobacillales                        ,Streptococcaceae                       ,Lactococcus                            ,Lactococcus raffinolactis              
GUT_GENOME022908.fna,Bacteria                               ,Proteobacteria                         ,Alphaproteobacteria                    ,RF32                                   ,CAG-977                                ,CAG-977                                ,CAG-977 sp000434295                    
GUT_GENOME023366.fna,Bacteria                               ,Firmicutes_A                           ,Clostridia                             ,Lachnospirales                         ,Lachnospiraceae                        ,CAG-590                                ,CAG-590 sp900552885                    
GUT_GENOME023484.fna,Bacteria                               ,Firmicutes_A                           ,Clostridia                             ,Lachnospirales                         ,Lachnospiraceae                        ,Anaerostipes                           ,                                       
GUT_GENOME023561.fna,Bacteria                               ,Actinobacteriota                       ,Coriobacteriia                         ,Coriobacteriales                       ,Coriobacteriaceae                      ,Collinsella                            ,                                       
GUT_GENOME023569.fna,Bacteria                               ,Firmicutes_A                           ,Clostridia                             ,Oscillospirales                        ,Ruminococcaceae                        ,Angelakisella                          ,Angelakisella sp003453215              
GUT_GENOME023591.fna,Bacteria                               ,Firmicutes_A                           ,Clostridia                             ,Lachnospirales                         ,Lachnospiraceae                        ,CAG-590                                ,CAG-590 sp000431135                    
GUT_GENOME023769.fna,Bacteria                               ,Firmicutes_A                           ,Clostridia                             ,Lachnospirales                         ,Lachnospiraceae                        ,CAG-603                                ,CAG-603 sp900066105                    
GUT_GENOME023798.fna,Bacteria                               ,Bacteroidota                           ,Bacteroidia                            ,Bacteroidales                          ,Bacteroidaceae                         ,Prevotellamassilia                     ,Prevotellamassilia sp900543155         
GUT_GENOME024079.fna,Bacteria                               ,Bacteroidota                           ,Bacteroidia                            ,Bacteroidales                          ,Bacteroidaceae                         ,Prevotella                             ,Prevotella sp000436035                 
GUT_GENOME024263.fna,Bacteria                               ,Bacteroidota                           ,Bacteroidia                            ,Bacteroidales                          ,Tannerellaceae                         ,Parabacteroides                        ,Parabacteroides sp900549585            
GUT_GENOME024514.fna,Bacteria                               ,Bacteroidota                           ,Bacteroidia                            ,Bacteroidales                          ,Bacteroidaceae                         ,UBA4372                                ,UBA4372 sp900543815                    
GUT_GENOME024527.fna,Bacteria                               ,Bacteroidota                           ,Bacteroidia                            ,Bacteroidales                          ,Bacteroidaceae                         ,Prevotella                             ,Prevotella sp900552675                 
GUT_GENOME024543.fna,Bacteria                               ,Firmicutes_A                           ,Clostridia                             ,Oscillospirales                        ,Oscillospiraceae                       ,CAG-83                                 ,CAG-83 sp900552725                     
GUT_GENOME024564.fna,Bacteria                               ,Firmicutes_A                           ,Clostridia                             ,Oscillospirales                        ,Acutalibacteraceae                     ,UMGS1279                               ,                                       
GUT_GENOME024688.fna,Bacteria                               ,Firmicutes_A                           ,Clostridia_A                           ,Christensenellales                     ,CAG-917                                ,CAG-475                                ,CAG-475 sp000434435                    
GUT_GENOME024743.fna,Bacteria                               ,Bacteroidota                           ,Bacteroidia                            ,Bacteroidales                          ,Bacteroidaceae                         ,Prevotella                             ,Prevotella sp900546575                 
GUT_GENOME024810.fna,Bacteria                               ,Firmicutes_A                           ,Clostridia                             ,Oscillospirales                        ,Oscillospiraceae                       ,UBA738                                 ,                                       
GUT_GENOME024845.fna,Bacteria                               ,Firmicutes_A                           ,Clostridia                             ,Peptostreptococcales                   ,Anaerovoracaceae                       ,CAG-238                                ,                                       
GUT_GENOME024905.fna,Bacteria                               ,Fusobacteriota                         ,Fusobacteriia                          ,Fusobacteriales                        ,Fusobacteriaceae                       ,Fusobacterium_B                        ,Fusobacterium_B sp900541465            
GUT_GENOME025243.fna,Bacteria                               ,Firmicutes                             ,Bacilli                                ,RF39                                   ,CAG-611                                ,CAG-451                                ,CAG-451 sp000438295                    
GUT_GENOME025308.fna,Bacteria                               ,Firmicutes_A                           ,Clostridia                             ,Oscillospirales                        ,Oscillospiraceae                       ,CAG-110                                ,CAG-110 sp900544705                    
GUT_GENOME025577.fna,Bacteria                               ,Firmicutes_A                           ,Clostridia_A                           ,Christensenellales                     ,CAG-138                                ,SFDB01                                 ,SFDB01 sp004558825                     
GUT_GENOME025591.fna,Bacteria                               ,Firmicutes_A                           ,Clostridia                             ,Oscillospirales                        ,CAG-272                                ,UMGS1002                               ,                                       
GUT_GENOME025611.fna,Bacteria                               ,Verrucomicrobiota                      ,Lentisphaeria                          ,Victivallales                          ,Victivallaceae                         ,Victivallis                            ,                                       
GUT_GENOME025676.fna,Bacteria                               ,Firmicutes_A                           ,Clostridia                             ,Oscillospirales                        ,Acutalibacteraceae                     ,CAG-177                                ,CAG-177 sp003514385                    
GUT_GENOME025761.fna,Bacteria                               ,Firmicutes_C                           ,Negativicutes                          ,Veillonellales                         ,Dialisteraceae                         ,Dialister                              ,Dialister sp000434475                  
GUT_GENOME025984.fna,Bacteria                               ,Firmicutes_A                           ,Clostridia_A                           ,Christensenellales                     ,CAG-74                                 ,SFFS01                                 ,                                       
GUT_GENOME025996.fna,Bacteria                               ,Firmicutes_A                           ,Clostridia                             ,UBA1212                                ,                                       ,                                       ,                                       
GUT_GENOME026008.fna,Bacteria                               ,Firmicutes_A                           ,Clostridia                             ,Oscillospirales                        ,Oscillospiraceae                       ,F23-B02                                ,F23-B02 sp900545805                    
GUT_GENOME026080.fna,Bacteria                               ,Firmicutes_A                           ,Clostridia                             ,TANB77                                 ,CAG-508                                ,CAG-245                                ,                                       
GUT_GENOME026217.fna,Bacteria                               ,Firmicutes_A                           ,Clostridia                             ,Oscillospirales                        ,Oscillospiraceae                       ,UBA738                                 ,                                       
GUT_GENOME026228.fna,Bacteria                               ,Firmicutes_A                           ,Clostridia                             ,Oscillospirales                        ,Oscillospiraceae                       ,CAG-110                                ,                                       
GUT_GENOME026466.fna,Bacteria                               ,Firmicutes_A                           ,Clostridia                             ,Oscillospirales                        ,Oscillospiraceae                       ,Evtepia                                ,                                       
GUT_GENOME026473.fna,Bacteria                               ,Verrucomicrobiota                      ,Verrucomicrobiae                       ,Opitutales                             ,CAG-312                                ,CAG-312                                ,CAG-312 sp001917305                    
GUT_GENOME026639.fna,Bacteria                               ,Firmicutes_A                           ,Clostridia                             ,Oscillospirales                        ,Oscillospiraceae                       ,CAG-170                                ,CAG-170 sp900548625                    
